순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
1,포장규격 표준화 및 민수규격과의 통일 Ⅰ,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장, 표준화","Packaging, Standardization","포장표준화 및 포장제원표 통일화, 포장규격 작성지침(안) 작성, 민군포장설계 및 검색 전산화 SW개발",A Study on Unification of the Packaging Specifications by Standardization,국방과학연구소
2,포장규격 표준화 및 민수규격과의 통일 Ⅱ,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장, 표준화","Packaging, Standardization","포장표준화 및 포장제원표 통일화, 포장규격 작성지침(안) 작성, 민군포장설계 및 검색 전산화 SW개발",A Study on Unification of the Packaging Specifications by Standardization,국방과학연구소
3,포장규격 표준화 및 민수규격과의 통일 Ⅲ,2003-08-01,2004-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장, 표준화","Packaging, Standardization","포장표준화 및 포장제원표 통일화, 포장규격 작성지침(안) 작성, 민군포장설계 및 검색 전산화 SW개발",A Study on Unification of the Packaging Specifications by Standardization,국방과학연구소
4,민군포장설계 및 검색 전산화 소프트웨어 개발 Ⅰ,2004-09-01,2005-08-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장설계, 전산화, SW","Packaging Design, Software","포장설계 프로그램 현황조사 및 기능분석, 포장 유통환경 Business Process 분석, 군수품 포장규격 전산화(DB구축 및 검색 프로그램 개발)",Development of Computerized Software for Military and Commercial Packaging Design and Search,국방과학연구소
5,민군포장설계 및 검색 전산화 소프트웨어 개발 Ⅱ,2005-08-01,2006-07-31,민군규격표준화사업,해당없음,한국포장시스템연구소,국방과학연구소,"포장설계, 전산화, SW","Packaging Design, Software","포장설계 프로그램 현황조사 및 기능분석, 포장 유통환경 Business Process 분석, 군수품 포장규격 전산화(DB구축 및 검색 프로그램 개발)",Development of Computerized Software for Military and Commercial Packaging Design and Search,국방과학연구소
6,한국산업표준(KS)과 국방규격의 부합화 연구 I,2007-11-01,2008-08-31,민군규격표준화사업,해당없음,한국표준협회,국방과학연구소,"한국산업표준, 국방규격, 부합화","KS, KDS, Harmonization","국방규격에 인용된 외국규격의 KS표준 전환 연구, 국방규격 원문 재 작성 및 국방규격 개정안 반영, 도면 DB 구축 및 검색 프로그램 개발, 부합화 효과 분석을 위한 설문 분석 등",A Study onf the Harmonization of Korean Industrial Standards and Military Specifications,국방과학연구소
7,한국산업표준(KS)과 국방규격의 부합화 연구 Ⅱ,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,한국표준협회,국방과학연구소,"한국산업표준, 국방규격, 부합화","KS, KDS, Harmonization","국방규격에 인용된 외국규격의 KS표준 전환 연구, 국방규격 원문 재 작성 및 국방규격 개정안 반영, 도면 DB 구축 및 검색 프로그램 개발, 부합화 효과 분석을 위한 설문 분석 등",A Study onf the Harmonization of Korean Industrial Standards and Military Specifications,국방과학연구소
8,민군 공용항공기 감항기술기준 제정 Ⅰ,2004-09-01,2005-08-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
9,석면함유제품 및 환경유해물질 실태조사 및 대처방안 연구,2008-09-01,2009-08-31,민군규격표준화사업,해당없음,한국품질재단,국방과학연구소,"석면, 환경유해물질, 대처방안"," Asbestos Containing Products, Environmentally Hazardous Substances","석면 함유 군수품 2,234 품목의 대응방안 제시, 환경유해물질 대응방안 제시, 석면 및 환경유해물질 사용금지 규정(안) 도출",A Study on The Asbestos Containing Products of Military Supplies and Environmentally Hazardous Substances and Research on Response to The Problems,국방과학연구소
10,저탄소 녹색성장 구현을 위한 규격대처방안 연구,2009-09-01,2010-08-31,민군규격표준화사업,해당없음,한국품질재단,국방과학연구소,"저탄소, 대처","Low Carbon, Substitution","군수품 환경유해물질 함유 현황 및 대처방안, 고효율 에너지 절감형 민수기술 도입방안, 친황경 포장재 및 포장기법, 그린에너지 활용 및 녹색성장 구현을 위한 군수품의 국방규격 발전방향 연구",A Study on The Substitution of Standards for Fulfillment of Low Carbon and Green Growth,국방과학연구소
11,기계요소류 규격통일화 연구 Ⅰ,1999-08-01,2000-07-31,민군규격표준화사업,해당없음,한국항공우주연구소,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
12,기계요소류 규격통일화 연구 Ⅱ,2000-08-01,2001-06-30,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
13,기계요소류 규격통일화 연구 III,2001-08-01,2002-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
14,기계요소류 규격통일화 연구 IV,2002-08-01,2003-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
15,기계요소류 규격통일화 연구 Ⅴ,2003-08-01,2004-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"기계요소류, 통일화","Hardwares Specification, Unification","기계요소품 국방규격 내용 분석, 규격체계 개선/정비 기본안 수립",A Study on the Standard Hardwares Specification Unification,국방과학연구소
16,민군 공용항공기 감항기술기준 제정 Ⅱ,2005-08-01,2006-07-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
17,민군 공용항공기 감항기술기준 제정 Ⅲ,2006-08-01,2007-08-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
18,민군 공용항공기 감항기술기준 제정 Ⅳ,2007-09-01,2008-08-31,민군규격표준화사업,해당없음,한국항공우주연구원,국방과학연구소,"항공기, 감항기술","Aircraft, Airworthiness Standards",간 기준과 군 규격의 요건을 상호 비교/분석하여 민군 공용항공기 및 장비품/부품에 대한 성능형 요건을 개발,A Study on the Establishment of Airworthiness Standards for Dual Use Aircraft,국방과학연구소
19,민군기술용어 표준화 및 협업지원체계 구축 Ⅰ,2012-09-01,2013-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"민군기술용어, 표준화, 협업지원체계","Terms in Military & Commercial Specifications, Collaboration Support System",군수품 및 민수품 규격용어의 표준화와 이를 지원하는 정보체계의 구축,An Standardization Method of Terms in Military & Commercial Specifications and its Implementation of Collaboration Support System,국방과학연구소
20,민군포장설계 및 검색 전산화 소프트웨어 개발 Ⅲ,2006-08-01,2007-08-31,민군규격표준화사업,해당없음,(주)포장법인정명,국방과학연구소,"포장설계, 전산화, SW","Packaging Design, Software","포장설계 프로그램 현황조사 및 기능분석, 포장 유통환경 Business Process 분석, 군수품 포장규격 전산화(DB구축 및 검색 프로그램 개발)",Development of Computerized Software for Military and Commercial Packaging Design and Search,국방과학연구소
21,방투습원단 및 내의류 규격 현실화를 위한 민군규격표준화 연구 Ⅰ,2015-09-01,2016-08-31,민군규격표준화사업,해당없음,FITI시험연구원,국방과학연구소,"방투습 원단, 내의류, 현실화","Dampproofing, underware, specification, realization"," 방·투습 섬유제품과 내의류에 대한 분류 체계화, 피복·복제류 국방규격에 적용되는 일부 부자재류의 품질수준 현실화, 군수품 및 상용품의 성능 구현을 위한 필수항목 설정 및 시험방법 표준화, 민군규격표준화 적용을 위한 합리적인 기준, 규격(안), 구매요구서(안) 제시","A civil-military standardization investigation on the specification readjustment of water-proof & breathable fabrics, underwears and subsidiary materials",국방과학연구소
22,군수품 무연땜납 적용방안  및 규격 대체 방안 연구 Ⅰ,2010-11-01,2011-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"군수품, 무연땜납","military electronics, Lead-Free Soldering",무연납과 관련된 국제적인 연구동향 조사 및 국방분야 무연솔더 적용을 위한 기초자료 제시,The Study on the application of Lead-Free Soldering and standard change in military electronics,국방과학연구소
23,K계열 장비 공통부품 표준화 및 민수규격 적용 방안 연구,2011-11-01,2012-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"K계열 장비, 표준화","K-series Weapon Systems, Standardization","K계열 궤도장비에 사용되는 부품과 장비간 공통적용 가능품목 기술검토 및 기술변경 제안, 시험절차서 정비 및 표준화",A Study for the Practical Standardization of Common Parts in the K-series Weapon Systems,국방과학연구소
24,군수품 무연땜납 적용방안 및 규격 대체 방안 연구 Ⅱ,2011-11-01,2012-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"군수품, 무연땜납","military electronics, Lead-Free Soldering",무연납과 관련된 국제적인 연구동향 조사 및 국방분야 무연솔더 적용을 위한 기초자료 제시,The Study on the application of Lead-Free Soldering and standard change in military electronics,국방과학연구소
25,민군기술용어 표준화 및 협업지원체계 구축 Ⅱ,2013-09-01,2014-08-31,민군규격표준화사업,해당없음,국방기술품질원,국방과학연구소,"민군기술용어, 표준화, 협업지원체계","Terms in Military & Commercial Specifications, Collaboration Support System",군수품 및 민수품 규격용어의 표준화와 이를 지원하는 정보체계의 구축,An Standardization Method of Terms in Military & Commercial Specifications and its Implementation of Collaboration Support System,국방과학연구소
